Transaction ID,Card Number,Amount,Class,Transaction Method,Timestamp
IZUMAFZVKUHD,8.42585E+11,35246,0,UPI,12-03-2012 03:15
ZLWQFOKPEPTQ,8.32725E+11,58692,1,Debit Card,21-04-2020 12:53
OIWDQBWDIUZY,4.10454E+11,32815,1,UPI,07-07-2015 02:06
WJHOJMAAHAGG,4.15619E+11,75019,0,UPI,09-03-2018 07:26
IMJJMJTLDFIM,2.61099E+11,27147,0,Debit Card,27-07-2023 22:53
PLISKOBPZUKL,2.45165E+11,78924,1,UPI,26-01-2020 10:54
WGQPANAITGJO,9.80119E+11,44765,0,UPI,02-04-2012 01:49
VAVAARZJUCQZ,9.69081E+11,91521,1,Debit Card,12-03-2011 16:19
HDCDGQQEBZVF,3.56885E+11,33977,1,Debit Card,15-10-2010 03:55
OJCFBMBTXRGV,8.42819E+11,71000,0,Debit Card,18-07-2021 00:42
KPBEJWRYBPYX,1.05494E+11,35190,1,UPI,27-01-2010 14:07
PBTZXRYFZAXM,4.07447E+11,80739,1,UPI,04-06-2011 02:09
VYGCLVLLGYMT,1.94959E+11,95803,0,Credit Card,04-03-2015 22:23
CTSLPNMPMUCW,5.17336E+11,88614,1,Credit Card,02-01-2015 16:35
WRXPCPNUYCCP,4.99033E+11,32664,1,Credit Card,15-04-2017 13:06
GJSDIHJXQYRD,3.93646E+11,98962,0,Credit Card,16-08-2022 04:29
PWPAHAKJMMFK,6.70427E+11,13588,0,Credit Card,03-07-2015 01:45
CUUAZROOFBMK,5.09931E+11,80857,0,Debit Card,04-12-2023 11:34
BBUGERFQTIIP,2.10064E+11,41739,1,Credit Card,09-06-2012 04:15
USRSSDKKIGKN,8.95202E+11,77705,1,Debit Card,26-01-2015 04:49
LMTNUQVXNJHN,6.45616E+11,42460,0,UPI,02-04-2023 09:00
JRUKIRHCRQFX,8.87424E+11,47052,1,UPI,15-11-2010 02:42
WCFEGBJHMRIE,9.6155E+11,64552,0,UPI,21-11-2020 18:56
GNGSYDVQDEPQ,8.92768E+11,63617,0,Debit Card,05-01-2017 01:27
WYPJSSUBVBQX,6.27819E+11,54215,0,Credit Card,20-03-2013 22:48
VFTBDIUQAOTZ,2.65825E+11,95934,0,UPI,03-07-2013 11:44
LGZFOPNPDDOQ,1.27796E+11,23500,1,Debit Card,19-05-2022 20:14
AACJANZPITYF,1.63714E+11,67244,1,Debit Card,10-06-2011 21:46
REJWVSGZVQDS,1.34761E+11,13597,0,Debit Card,20-01-2020 08:42
BLSNCAVMQRXP,2.04555E+11,86505,0,Credit Card,08-06-2023 20:47
SBNZQRQWBODW,8.74101E+11,71056,0,UPI,26-04-2016 11:25
UKZIHZRFZIJB,3.61611E+11,59189,0,Debit Card,03-04-2013 22:59
STRVEILIWJAH,5.47179E+11,44971,0,UPI,08-01-2011 06:18
UARTDXDKNZJL,4.45616E+11,79402,1,Credit Card,17-01-2011 23:52
TCESVEJZNSPK,3.73256E+11,14549,1,Credit Card,01-12-2018 19:39
BJDZCPGDUVPY,7.95223E+11,43792,0,Credit Card,10-01-2012 06:22
SPPGSPJCSVQF,9.99918E+11,72873,0,UPI,13-02-2014 17:21
VNJBFAHXOIAJ,5.50924E+11,99033,0,UPI,17-09-2016 07:26
MCYTGHVPSBXU,9.55304E+11,45019,1,UPI,24-02-2013 23:56
HSVPEFGVNLJH,6.24774E+11,42613,0,UPI,16-08-2014 12:23
QCEYZDRFZPQG,3.28341E+11,14339,0,UPI,09-03-2022 03:15
ZSCTBKVLVWDU,2.55599E+11,64515,1,UPI,23-09-2013 08:24
PJIDSPBKJXTZ,1.15327E+11,46499,1,Debit Card,21-04-2010 00:27
HSTEIHKAGNOT,1.39854E+11,90668,1,UPI,24-02-2018 19:39
ULRSOWNTANVO,7.0534E+11,30727,0,Credit Card,07-01-2021 19:16
JSECVJCLZEKJ,8.39393E+11,38345,1,Credit Card,16-06-2021 21:47
UOOSENYWGSCX,9.46121E+11,30178,1,UPI,20-06-2014 22:16
ZZOFCLMCSGFR,3.01811E+11,98808,0,Debit Card,18-09-2011 05:18
JFPSYLXPNIZE,5.50781E+11,14127,1,Debit Card,12-11-2021 01:54
JYPJCHOBOVNZ,2.5839E+11,33624,0,UPI,16-04-2017 01:49
IZIBNGLIGWJW,9.6262E+11,96478,1,Credit Card,16-05-2020 19:50
