Transaction ID,Card Number,Amount,Class,Transaction Method,Timestamp
IZUMAFZVKUHD,842585321112,35246,0,UPI,12-03-2012 03:15
ZLWQFOKPEPTQ,832724535178,58692,1,Debit Card,21-04-2020 12:53
OIWDQBWDIUZY,410453711092,32815,1,UPI,07-07-2015 02:06
WJHOJMAAHAGG,415618700594,75019,0,UPI,09-03-2018 07:26
IMJJMJTLDFIM,261099167934,27147,0,Debit Card,27-07-2023 22:53
PLISKOBPZUKL,245164853406,78924,1,UPI,26-01-2020 10:54
WGQPANAITGJO,980118691380,44765,0,UPI,02-04-2012 01:49
VAVAARZJUCQZ,969081177135,91521,1,Debit Card,12-03-2011 16:19
HDCDGQQEBZVF,356885342870,33977,1,Debit Card,15-10-2010 03:55
OJCFBMBTXRGV,842818777152,71000,0,Debit Card,18-07-2021 00:42
KPBEJWRYBPYX,105494259964,35190,1,UPI,27-01-2010 14:07
PBTZXRYFZAXM,407447089832,80739,1,UPI,04-06-2011 02:09
VYGCLVLLGYMT,194959336981,95803,0,Credit Card,04-03-2015 22:23
CTSLPNMPMUCW,517335897045,88614,1,Credit Card,02-01-2015 16:35
WRXPCPNUYCCP,499032580315,32664,1,Credit Card,15-04-2017 13:06
GJSDIHJXQYRD,393646257153,98962,0,Credit Card,16-08-2022 04:29
PWPAHAKJMMFK,670426738007,13588,0,Credit Card,03-07-2015 01:45
CUUAZROOFBMK,509930898341,80857,0,Debit Card,04-12-2023 11:34
BBUGERFQTIIP,210063629836,41739,1,Credit Card,09-06-2012 04:15
USRSSDKKIGKN,895202254023,77705,1,Debit Card,26-01-2015 04:49
LMTNUQVXNJHN,645615505859,42460,0,UPI,02-04-2023 09:00
JRUKIRHCRQFX,887424313832,47052,1,UPI,15-11-2010 02:42
WCFEGBJHMRIE,961550097222,64552,0,UPI,21-11-2020 18:56
GNGSYDVQDEPQ,892767510116,63617,0,Debit Card,05-01-2017 01:27
WYPJSSUBVBQX,627819449773,54215,0,Credit Card,20-03-2013 22:48
VFTBDIUQAOTZ,265825492304,95934,0,UPI,03-07-2013 11:44
LGZFOPNPDDOQ,127796498539,23500,1,Debit Card,19-05-2022 20:14
AACJANZPITYF,163714072710,67244,1,Debit Card,10-06-2011 21:46
REJWVSGZVQDS,134760882302,13597,0,Debit Card,20-01-2020 08:42
BLSNCAVMQRXP,204554826585,86505,0,Credit Card,08-06-2023 20:47
SBNZQRQWBODW,874100592678,71056,0,UPI,26-04-2016 11:25
UKZIHZRFZIJB,361610976974,59189,0,Debit Card,03-04-2013 22:59
STRVEILIWJAH,547178784160,44971,0,UPI,08-01-2011 06:18
UARTDXDKNZJL,445616181370,79402,1,Credit Card,17-01-2011 23:52
TCESVEJZNSPK,373255938334,14549,1,Credit Card,01-12-2018 19:39
BJDZCPGDUVPY,795222933383,43792,0,Credit Card,10-01-2012 06:22
SPPGSPJCSVQF,999917909775,72873,0,UPI,13-02-2014 17:21
VNJBFAHXOIAJ,550924474465,99033,0,UPI,17-09-2016 07:26
MCYTGHVPSBXU,955303838117,45019,1,UPI,24-02-2013 23:56
HSVPEFGVNLJH,624774428507,42613,0,UPI,16-08-2014 12:23
QCEYZDRFZPQG,328341300827,14339,0,UPI,09-03-2022 03:15
ZSCTBKVLVWDU,255598512596,64515,1,UPI,23-09-2013 08:24
PJIDSPBKJXTZ,115326901282,46499,1,Debit Card,21-04-2010 00:27
HSTEIHKAGNOT,139854176825,90668,1,UPI,24-02-2018 19:39
ULRSOWNTANVO,705339519458,30727,0,Credit Card,07-01-2021 19:16
JSECVJCLZEKJ,839393107867,38345,1,Credit Card,16-06-2021 21:47
UOOSENYWGSCX,946121087928,30178,1,UPI,20-06-2014 22:16
ZZOFCLMCSGFR,301810576470,98808,0,Debit Card,18-09-2011 05:18
JFPSYLXPNIZE,550781108311,14127,1,Debit Card,12-11-2021 01:54
JYPJCHOBOVNZ,258390164230,33624,0,UPI,16-04-2017 01:49
IZIBNGLIGWJW,962619643326,96478,1,Credit Card,16-05-2020 19:50
CZXYSLCRZOOY,414815090446,56320,0,Credit Card,04-04-2024 20:40
ENLZRPMXQMFT,546204904989,95507,1,Credit Card,01-06-2011 04:03
HLDDSUKELFJC,640993040629,45433,1,UPI,22-02-2012 05:45
ANIWJRYMIFSC,728596428559,96508,1,Credit Card,27-05-2016 19:10
LGUDTEYGDBSU,413634063654,55107,1,UPI,19-11-2016 12:41
PLUCPWIDWOEN,556298308192,32356,1,UPI,26-11-2019 01:17
DSZNKKQBKPNI,834744243492,15201,1,Credit Card,07-11-2017 06:04
JVJQPJFHKBXN,986508073720,80767,1,Credit Card,28-10-2022 21:28
TUBDUVXFWUWH,135642133030,82657,1,UPI,09-05-2015 20:56
DZUKONFHEAUS,542522220085,70818,0,Debit Card,06-02-2011 17:36
GJPRXCNHGIMG,433769084729,79816,1,UPI,22-09-2023 16:24
SNUVKINWQOPR,312991967413,16214,1,Credit Card,26-01-2015 03:53
FADVDMMELKVK,449953460940,85540,0,Credit Card,22-06-2010 02:14
DRBHXBNBTEUZ,790291711733,40788,1,UPI,13-04-2022 07:06
VLWWUAAUUUYB,563887925037,27046,1,UPI,11-12-2022 04:39
EFNHPZMUPSEZ,245461247612,18127,0,Debit Card,19-07-2018 09:10
FIAZTIDLYCSU,864025755784,25736,1,Debit Card,06-11-2013 17:05
NUIYBKIXZVUC,431853184111,54509,1,Debit Card,20-05-2016 19:00
VNHOYZAYQKCS,738108734824,52228,0,Debit Card,19-04-2022 00:59
TUEHOULUQOJC,359777892861,18595,1,UPI,03-12-2014 02:01
ZVVJSNNXBRTC,870090162160,77517,1,Credit Card,16-01-2017 11:24
ZXHQUXNXRMTV,968354552460,90929,0,UPI,13-01-2020 19:57
JLZLCPQDKTIQ,103241745654,25948,1,UPI,08-04-2021 07:16
DZUMIZIFGONB,566566932419,83091,0,UPI,05-01-2011 16:51
EIMCLUZFZPPR,560556295619,20212,0,Credit Card,02-09-2010 00:54
